datetime,city,state,country,shape,duration (hours/min),comments,date posted,longitude 
4/24/2001 18:23,denver,co,us,oval,4:00min,green&#44blue and red flashing lights.,4/28/2001,-104.98416670000002
5/15/1960 18:00,terre haute,in,us,other,5 min.,Light Bar in Clouds UFO,9/19/2002,-87.4138889
3/15/2008 19:00,tucson,az,us,fireball,2 seconds,Large&#44 glowing&#44 floating&#44 red fireball/orb spotted in the sky for a very short time before it disappeared.,3/31/2008,-110.9258333
3/19/2007 09:22,matteson,il,us,light,18 minutes&#44 give or take,Very bright red light&#33,4/27/2007,-87.7130556
8/13/2003 04:00,lake mary,fl,us,unknown,2 secs,DID YOU SEE WHAT I SAW??? ((NUFORC Note:  Possible Perseid meteor&#44 we believe.  PD)),8/28/2003,-81.3180556
6/15/2004 02:00,locust grove,va,us,light,1 to 2 seconds,Light in night sky traveling at high speed and making a right angle turn without changing velocity.,5/24/2005,-78.6486111
9/14/2012 20:50,howland,oh,nan,sphere,10 minute,About 30 red orbs/ in a checkmark formation/some droped out and came back into formation going NW,9/24/2012,-80.732529
1/17/2008 24:00,oklahoma city,ok,us,formation,3 minutes,Group of orange glowing lights&#44 flying and darting around in the sky&#44 yet staying together in a group,1/21/2008,-97.5161111
7/18/1974 20:00,bremerton,wa,us,delta,5 minits,from my bed room window we saw what we thought was a car on the hill top just up the street,1/11/2002,-122.6313889
9/15/2005 05:30,thornville,oh,us,oval,8-10 seconds,an oval ship appeared in the northwest sky up about 60 degrees that was traveling west on edge &#44 bottom to the south. it then disappear,10/30/2006,-82.4202778
8/31/2004 21:00,romulus,ny,us,cone,8 min.,White blur with two lights&#44 changed directions often&#44 faded in and out; over the big dipper. ((NUFORC Note:  Missile launch.  PD)),9/1/2004,-76.8338889
11/14/1997 21:30,olympia (east of),wa,us,formation,2 minutes,We drove up to my house and looked to the North. At about a 45 degree angle we observed a flight of ???? moving from left to right in a,11/20/2002,-122.8994444
12/10/2007 21:00,taunton,ma,us,unknown,22:00,a mysterious cloud and 2 smokey streaks,3/4/2008,-71.0902778
6/15/1999 24:00,tauton (uk/england),nan,nan,other,20 mins,well i video&#39d this object 2 summers ago reported it to our local ufo people called utopia.. even the local tv station where interested,4/28/2001,-3.106849
8/20/1979 21:00,phoenix,az,us,disk,5 minutes,Mother and two children recall ufo experience,5/15/2006,-112.0733333
12/28/1999 22:00,elisabeth,co,nan,light,1-2 mins,White light moves and disapers,7/26/2002,-104.596915
1/19/2009 19:38,pleasant gap,pa,us,triangle,3 min,V shaped lights flying across the night sky,3/19/2009,-77.7469444
2/11/2001 00:30,bancroft (canada),on,nan,fireball,1:00,iT WAS BETWEN 12:00 AND 1:00 AM WHEN I SEEN 5 FIRE BALL SHAPED OBJECTS AT MY FARM IN BANCROFT.  I WENT GET MY FREND AND WHEN I GOT BACK,2/5/2003,-77.854881
6/1/1985 10:00,seoul (south korea),nan,nan,other,3 minutes,Silver&#44 upside down T-shaped flying object hovering low slowly and quietly then flew away in about 3 minutes,11/28/2007,126.977969
10/21/2004 23:30,careyes (mexico),nan,nan,circle,about... a minute...,I saw a strange circular saucer moving (not at all quickly either) away from the sea&#44 from a balcony.,9/2/2005,-103.265105
11/13/1999 04:30,moorehead,ky,nan,flash,app. 10 minutes,A single object that looked like a star at first glance&#44 however object moved and had variable light (Bright to unseen pulsating),11/17/1999,-83.432684
3/23/1997 21:45,nederland,co,us,other,2 minutes,Group of Velebrators of Vernal Equinox are visited by dimmensional craft .Sunday evening&#44 a group gathered to welcome in the spring whi,3/7/1998,-105.5102778
8/7/1953 21:00,vallejo,ca,us,light,60 min,At first we thought they were shooting stars,4/1/2001,-122.25555559999998
9/8/2012 22:00,des moines,ia,us,light,3 minutes,2 Bright Orbs in the Eastern Sky moving fast and irregular.,9/24/2012,-93.6088889
