datetime,city,state,country,shape,duration (hours/min),comments,date posted,longitude 
11/15/2002 00:45,swadlincote derby&#44 uk (near),nan,nan,flash,3 mins,SIGHTING NEAR SWADLINCOTE DERBYSHIRE,11/20/2002,-1.554997
6/1/1977 22:00,butte meadows (near),ca,us,unknown,30 seconds,Strange light beamed straight down over our campfire.  There was no sound.,4/27/2007,-121.55
3/3/2013 21:00,cranston,ri,us,fireball,1 minute,Orange ball of light hovering at a low altitude in cranston&#44 vanishes then reappears seconds later in diff location,4/12/2013,-71.43777779999998
10/10/2007 19:00,austin,tx,us,flash,3 seconds,pulsing flash recurring at 2 second intervals 3 times along the same trajectory along 90 degrees of sky,11/28/2007,-97.7427778
6/29/2012 22:20,kingsford,mi,us,light,5 seconds,Fast moving light&#44 showed 4 sharp perfectly spaced points of light  through binoculars&#44,7/4/2012,-88.0719444
1/1/2000 22:00,evansville,in,us,cigar,2 seconds,Long black cigar-shaped craft flew over at low altitude and was extremely quick despite no engine noise (only wind),2/24/2001,-87.5558333
6/12/2005 13:00,chicago,il,us,triangle,1-3 minutes,three triangular black objects hovering in a trianglular formation,6/20/2005,-87.65
10/23/2011 07:05,gatesville,tx,us,flash,1 second,strange flash of light,10/25/2011,-97.7436111
9/15/2012 21:30,vineyard haven,ma,us,sphere,20 minutes,Round orange spheres&#8230;,9/24/2012,-70.60416670000002
11/10/2007 22:00,palm beach gardens,fl,us,light,10 mins,Bright light with sudden burst of speed,11/28/2007,-80.13888890000001
11/15/1976 20:00,cambridge (galt) (canada),on,ca,formation,15 mins,Nov. 1976&#44 straight line of 7 or 8 red balls travelling northward&#44 absolutely silent&#44 moving up and down&#44 changing positions,2/5/2003,-80.31666700000002
11/17/2012 20:30,oswego,il,us,oval,20-30 seconds,4 silent orange balls of light flying across field of view chasing each other at decent rate of speed and quite low above Oswego&#44 IL.,11/19/2012,-88.3513889
4/25/1958 19:00,atlantic ocean (troopship/ uss rose),nan,nan,unknown,1/hour,An object that looked like a star until it moved.,4/2/1999,-28.673147
7/25/2001 18:30,bellingham,wa,us,disk,20 minutes,Large&#44 Sunlight reflecting metallic  saucer seen in Bellingham&#44 Wa.,8/5/2001,-122.4869444
9/11/2013 23:30,scottsdale,az,us,other,hour and a half+,I saw a cluster of white lights from 11:30pm-1:00am slowly moving across the sky.,9/30/2013,-111.8983333
2/23/2005 19:00,edgerton,wi,us,triangle,10 minutes,Triangular - 3 lights one red and two white. Night of 2/23/05 in Edgerton&#44 Wisconsin on Hwy I-90 around 7 p.m.,4/16/2005,-89.0675
9/16/2004 19:00,truth or consequences,nm,us,light,1 hour,Possible metalic object reflected sun&#39s light very brightly for over  an hour.,9/29/2004,-107.2522222
9/22/2013 02:00,sandstone,mn,us,light,45 minutes,Greenish white light metalic object swaying in sky.,9/30/2013,-92.8672222
3/1/2005 22:30,wayne,nj,us,teardrop,10 seconds,I was sitting in my bed when a bright array of lights caught my eyes. I looked out the window and noticed a flying object no more than,4/16/2005,-74.2769444
11/3/2012 21:40,milton (canada),on,ca,unknown,2 minutes,Near Appleby line&#44 3 bright white rapidly blinking lights;VANISHED&#44 only to reappear further away moments later,11/19/2012,-63.216667
10/1/1954 19:00,flatwoods,wv,us,circle,1 minute,I saw the craft go across the horizon.  It appeared to be on fire&#44 I first thought it was a plane going down.  It landed near a farm.,4/12/2013,-80.65
7/10/1996 01:30,indian nation turnpike,ok,nan,fireball,15mn,green fire in the sky  around  500yd up moveing north to south  arond 50 ft top to boutom no sound,9/2/2005,-95.76418
12/3/2003 19:43,miami,fl,us,flash,3 seconds,Bright Blue/Greenish  White flash in the Eastern sky falling to the SE,12/9/2003,-80.1938889
11/3/2007 05:50,san francisco,ca,us,other,20 minutes,Bright Boomerang Object in the Sky in San Francisco on November 3th  500 Lights On Object0: Yes,11/28/2007,-122.4183333
6/21/2013 23:15,barrington,il,us,circle,20-45 minutes,Three bright objects verticle stance. Top two fire orange with moving outer shell . One pretended to be part of satellite tower.,7/3/2013,-88.1361111
3/1/2012 20:30,sedona,az,us,cigar,10 minutes,1-2 mile long cigar shaped craft over Sedona&#44 Arizona.,3/13/2012,-111.7602778
5/20/1997 01:00,louisville,ky,us,circle,5 minutes,glow over louisville kentucky,5/27/2003,-85.7594444
