"Month Day, Year Code",Avg Fine Particulate Matter (ľg/mł),Typical?
2003/01/01,30.81,0
2003/01/02,22.64,0
2003/01/03,13.78,1
2003/01/04,35.24,0
2003/01/05,20.08,0
2003/01/06,18.91,0
2003/01/07,21.61,0
2003/01/08,26.75,0
2003/01/09,23.38,0
2003/01/10,20.56,0
2003/01/11,24.61,0
2003/01/12,35.09,0
2003/01/13,27.43,0
2003/01/14,21.79,0
2003/01/15,14.08,1
2003/01/16,15.43,0
2003/01/17,28.64,0
2003/01/18,23.82,0
2003/01/19,26.64,0
2003/01/20,29.65,0
2003/01/21,21.93,0
2003/01/22,43.33,0
2003/01/23,26.35,0
2003/01/24,14,1
2003/01/25,14.06,1
2003/01/26,19.03,0
2003/01/27,17.32,0
2003/01/28,18.06,0
2003/01/29,32.89,0
2003/01/30,16.48,0
2003/01/31,27.96,0
2003/02/01,15.79,0
2003/02/02,7.1,1
2003/02/03,13.92,1
2003/02/04,13.32,1
2003/02/05,9.71,1
2003/02/06,14.53,1
2003/02/07,12.63,1
2003/02/08,17.22,0
2003/02/09,25.65,0
2003/02/10,24.62,0
2003/02/11,20.72,0
2003/02/12,22.91,0
2003/02/13,16.79,0
2003/02/14,14.54,1
2003/02/15,9.96,1
2003/02/16,8.75,1
2003/02/17,13.02,1
2003/02/18,16.28,0
2003/02/19,24.71,0
2003/02/20,7.6,1
2003/02/21,15.81,0
2003/02/22,14.35,1
2003/02/23,15.43,0
2003/02/24,16.59,0
2003/02/25,12.76,1
2003/02/26,8.89,1
2003/02/27,10.73,1
2003/02/28,7.91,1
2003/03/01,9.32,1
2003/03/02,8.47,1
2003/03/03,6.43,1
2003/03/04,7.8,1
2003/03/05,9.67,1
2003/03/06,11.98,1
2003/03/07,10.91,1
2003/03/08,15.2,0
2003/03/09,16.1,0
2003/03/10,14.55,1
2003/03/11,12.66,1
2003/03/12,12.12,1
2003/03/13,14.97,1
2003/03/14,10.43,1
2003/03/15,6.37,1
2003/03/16,5.05,1
2003/03/17,4.89,1
2003/03/18,6.2,1
2003/03/19,8.65,1
2003/03/20,8.49,1
2003/03/21,8.99,1
2003/03/22,10.12,1
2003/03/23,8.91,1
2003/03/24,8.83,1
2003/03/25,7.67,1
2003/03/26,7.9,1
2003/03/27,8.21,1
2003/03/28,4.27,1
2003/03/29,7.46,1
2003/03/30,7.36,1
2003/03/31,8.29,1
2003/04/01,8.73,1
2003/04/02,6.15,1
2003/04/03,5.03,1
2003/04/04,5.12,1
2003/04/05,6.92,1
2003/04/06,6.28,1
2003/04/07,7.71,1
2003/04/08,6.85,1
2003/04/09,8.39,1
2003/04/10,8.51,1
2003/04/11,9.5,1
2003/04/12,5.02,1
2003/04/13,4.97,1
2003/04/14,3.74,1
2003/04/15,5.46,1
2003/04/16,7.32,1
2003/04/17,7.15,1
2003/04/18,6.2,1
2003/04/19,11.17,1
2003/04/20,14.2,1
2003/04/21,6.49,1
2003/04/22,5.84,1
2003/04/23,8.3,1
2003/04/24,5.81,1
2003/04/25,5,1
2003/04/26,5.22,1
2003/04/27,6.33,1
2003/04/28,6.44,1
2003/04/29,5.59,1
2003/04/30,5.38,1
2003/05/01,7.99,1
2003/05/02,8.64,1
2003/05/03,3.77,1
2003/05/04,4.89,1
2003/05/05,11.04,1
2003/05/06,10.14,1
2003/05/07,7.9,1
2003/05/08,6.63,1
2003/05/09,5.3,1
2003/05/10,8.6,1
2003/05/11,10.01,1
2003/05/12,10.06,1
2003/05/13,14.95,1
2003/05/14,12.15,1
2003/05/15,10.73,1
2003/05/16,14.59,1
2003/05/17,12.31,1
2003/05/18,11.4,1
2003/05/19,17.42,0
2003/05/20,21.44,0
2003/05/21,12.62,1
2003/05/22,13.98,1
2003/05/23,19.33,0
2003/05/24,12.82,1
2003/05/25,6.62,1
2003/05/26,7.8,1
2003/05/27,13.03,1
2003/05/28,14.86,1
2003/05/29,15.56,0
2003/05/30,12.32,1
2003/05/31,10.32,1
2003/06/01,14.66,1
2003/06/02,15.49,0
2003/06/03,14.8,1
2003/06/04,10.03,1
2003/06/05,13.72,1
2003/06/06,9.68,1
2003/06/07,10.18,1
2003/06/08,15.21,0
2003/06/09,7.04,1
2003/06/10,7.83,1
2003/06/11,8.55,1
2003/06/12,9.52,1
2003/06/13,11.81,1
2003/06/14,11.09,1
2003/06/15,16.06,0
2003/06/16,18.05,0
2003/06/17,18.26,0
2003/06/18,14.84,1
2003/06/19,12.31,1
2003/06/20,6.55,1
2003/06/21,5.65,1
2003/06/22,5.87,1
2003/06/23,8.64,1
2003/06/24,10.16,1
2003/06/25,11.75,1
2003/06/26,9.97,1
2003/06/27,12.51,1
2003/06/28,15.98,0
2003/06/29,11.39,1
2003/06/30,14.46,1
2003/07/01,10.9,1
2003/07/02,8.51,1
2003/07/03,12.67,1
2003/07/04,32.63,0
2003/07/05,19.26,0
2003/07/06,11.78,1
2003/07/07,12.59,1
2003/07/08,11.39,1
2003/07/09,14.13,1
2003/07/10,16.44,0
2003/07/11,10.2,1
2003/07/12,13.05,1
2003/07/13,10.66,1
2003/07/14,11.13,1
2003/07/15,15.09,0
2003/07/16,12.01,1
2003/07/17,13.54,1
2003/07/18,14.62,1
2003/07/19,13.69,1
2003/07/20,11.04,1
2003/07/21,18.3,0
2003/07/22,12.87,1
2003/07/23,13.75,1
2003/07/24,14.98,1
2003/07/25,15.68,0
2003/07/26,10.91,1
2003/07/27,12.11,1
2003/07/28,11.83,1
2003/07/29,11.68,1
2003/07/30,13.97,1
2003/07/31,12.07,1
2003/08/01,9.13,1
2003/08/02,7.76,1
2003/08/03,7.75,1
2003/08/04,7.14,1
2003/08/05,5.91,1
2003/08/06,7.88,1
2003/08/07,7.56,1
2003/08/08,8.85,1
2003/08/09,8.09,1
2003/08/10,6.81,1
2003/08/11,9.47,1
2003/08/12,10.63,1
2003/08/13,9.06,1
2003/08/14,9.75,1
2003/08/15,11.37,1
2003/08/16,9.27,1
2003/08/17,9.77,1
2003/08/18,11.4,1
2003/08/19,9.42,1
2003/08/20,11.01,1
2003/08/21,12.07,1
2003/08/22,7.28,1
2003/08/23,6.63,1
2003/08/24,8.07,1
2003/08/25,9.37,1
2003/08/26,11.35,1
2003/08/27,10.09,1
2003/08/28,8.31,1
2003/08/29,13.04,1
2003/08/30,14.22,1
2003/08/31,13.38,1
2003/09/01,14.63,1
2003/09/02,15.24,0
2003/09/03,12.02,1
2003/09/04,11.73,1
2003/09/05,11.01,1
2003/09/06,7.57,1
2003/09/07,8.16,1
2003/09/08,6.79,1
2003/09/09,6.72,1
2003/09/10,7.35,1
2003/09/11,11.69,1
2003/09/12,11.64,1
2003/09/13,11.96,1
2003/09/14,18.98,0
2003/09/15,14.52,1
2003/09/16,18.05,0
2003/09/17,10.94,1
2003/09/18,8.98,1
2003/09/19,16.6,0
2003/09/20,19.84,0
2003/09/21,14.54,1
2003/09/22,23.6,0
2003/09/23,22.13,0
2003/09/24,16.56,0
2003/09/25,19.84,0
2003/09/26,23.26,0
2003/09/27,20.16,0
2003/09/28,22.37,0
2003/09/29,21.99,0
2003/09/30,17.68,0
2003/10/01,12.25,1
2003/10/02,12.43,1
2003/10/03,12.57,1
2003/10/04,15.05,1
2003/10/05,14.36,1
2003/10/06,17.48,0
2003/10/07,15.31,0
2003/10/08,19.27,0
2003/10/09,18.82,0
2003/10/10,7.28,1
2003/10/11,11,1
2003/10/12,9.1,1
2003/10/13,12.49,1
2003/10/14,12.45,1
2003/10/15,12.77,1
2003/10/16,16.06,0
2003/10/17,16.17,0
2003/10/18,11.08,1
2003/10/19,12.61,1
2003/10/20,13.36,1
2003/10/21,13.94,1
2003/10/22,10.19,1
2003/10/23,11.66,1
2003/10/24,13.98,1
2003/10/25,22.08,0
2003/10/26,34.18,0
2003/10/27,23.47,0
2003/10/28,30.45,0
2003/10/29,27.21,0
2003/10/30,7.66,1
2003/10/31,9.34,1
2003/11/01,15.16,0
2003/11/02,10,1
2003/11/03,14.18,1
2003/11/04,17.58,0
2003/11/05,18.86,0
2003/11/06,39.13,0
2003/11/07,33.69,0
2003/11/08,20,0
2003/11/09,11.44,1
2003/11/10,10.74,1
2003/11/11,16.22,0
2003/11/12,18.28,0
2003/11/13,13.06,1
2003/11/14,18.56,0
2003/11/15,12.4,1
2003/11/16,10.67,1
2003/11/17,11.64,1
2003/11/18,17.6,0
2003/11/19,28.57,0
2003/11/20,17.16,0
2003/11/21,14.21,1
2003/11/22,13.35,1
2003/11/23,17.13,0
2003/11/24,34.72,0
2003/11/25,20.59,0
2003/11/26,17.29,0
2003/11/27,33.47,0
2003/11/28,22.39,0
2003/11/29,13.05,1
2003/11/30,25.64,0
2003/12/01,22.61,0
2003/12/02,20.81,0
2003/12/03,20.23,0
2003/12/04,37.89,0
2003/12/05,26.63,0
2003/12/06,28.28,0
2003/12/07,11.42,1
2003/12/08,10.79,1
2003/12/09,18.39,0
2003/12/10,10,1
2003/12/11,11.51,1
2003/12/12,13.08,1
2003/12/13,16.96,0
2003/12/14,13.08,1
2003/12/15,9.75,1
2003/12/16,17.56,0
2003/12/17,20.19,0
2003/12/18,27.66,0
2003/12/19,29.99,0
2003/12/20,22.81,0
2003/12/21,16.99,0
2003/12/22,13.86,1
2003/12/23,9.69,1
2003/12/24,9.62,1
2003/12/25,9.33,1
2003/12/26,9.68,1
2003/12/27,16.38,0
2003/12/28,23.47,0
2003/12/29,13.04,1
2003/12/30,13.5,1
2003/12/31,21.88,0
2004/01/01,18.94,0
2004/01/02,16.58,0
2004/01/03,20.53,0
2004/01/04,15.77,0
2004/01/05,17.84,0
2004/01/06,27.52,0
2004/01/07,28.58,0
2004/01/08,27.06,0
2004/01/09,24.39,0
2004/01/10,15.18,0
2004/01/11,24.5,0
2004/01/12,26.67,0
2004/01/13,24.47,0
2004/01/14,21.53,0
2004/01/15,23.81,0
2004/01/16,25.54,0
2004/01/17,31.17,0
2004/01/18,41.19,0
2004/01/19,35.24,0
2004/01/20,30.91,0
2004/01/21,24.46,0
2004/01/22,21.17,0
2004/01/23,32.76,0
2004/01/24,22.92,0
2004/01/25,13.07,1
2004/01/26,12.47,1
2004/01/27,13.4,1
2004/01/28,15.06,1
2004/01/29,26.49,0
2004/01/30,27.7,0
2004/01/31,9.31,1
2004/02/01,9.62,1
2004/02/02,10.95,1
2004/02/03,7.62,1
2004/02/04,9.18,1
2004/02/05,13.27,1
2004/02/06,14.76,1
2004/02/07,12.4,1
2004/02/08,10.72,1
2004/02/09,10.77,1
2004/02/10,12.13,1
2004/02/11,25.37,0
2004/02/12,19.44,0
2004/02/13,17.68,0
2004/02/14,20.43,0
2004/02/15,18.87,0
2004/02/16,20.77,0
2004/02/17,20.72,0
2004/02/18,15.99,0
2004/02/19,10.14,1
2004/02/20,14.23,1
2004/02/21,12.24,1
2004/02/22,8.61,1
2004/02/23,9.04,1
2004/02/24,7.3,1
2004/02/25,8.69,1
2004/02/26,5.29,1
2004/02/27,5.77,1
2004/02/28,7.43,1
2004/02/29,7.13,1
2004/03/01,8.63,1
2004/03/02,5.45,1
2004/03/03,7.12,1
2004/03/04,6.9,1
2004/03/05,9.24,1
2004/03/06,11.56,1
2004/03/07,10.8,1
2004/03/08,15.27,0
2004/03/09,13.93,1
2004/03/10,9.67,1
2004/03/11,13.29,1
2004/03/12,19.84,0
2004/03/13,18.65,0
2004/03/14,19.22,0
2004/03/15,18.19,0
2004/03/16,13.73,1
2004/03/17,17.13,0
2004/03/18,17.85,0
2004/03/19,19.5,0
2004/03/20,21.35,0
2004/03/21,17.38,0
2004/03/22,21.6,0
2004/03/23,7.51,1
2004/03/24,9.08,1
2004/03/25,11.61,1
2004/03/26,6.82,1
2004/03/27,6.76,1
2004/03/28,7.5,1
2004/03/29,9.4,1
2004/03/30,7.41,1
2004/03/31,9.36,1
2004/04/01,9,1
2004/04/02,11.51,1
2004/04/03,9.36,1
2004/04/04,15.56,0
2004/04/05,10.38,1
2004/04/06,8.61,1
2004/04/07,14.04,1
2004/04/08,14.89,1
2004/04/09,15.97,0
2004/04/10,14.4,1
2004/04/11,14.6,1
2004/04/12,12.8,1
2004/04/13,12.78,1
2004/04/14,7.12,1
2004/04/15,7.92,1
2004/04/16,6.6,1
2004/04/17,4.53,1
2004/04/18,5.44,1
2004/04/19,5.08,1
2004/04/20,7.03,1
2004/04/21,8.29,1
2004/04/22,6.17,1
2004/04/23,7.3,1
2004/04/24,7.26,1
