Number of kicks,Number of kisses,Binary Label,Title,Index
1,88,1,Beautiful Woman,0
42,67,1,Titanic,1
3,104,1,California Man,2
2,100,1,He's Not Really Into Dudes,3
4,68,1,The Age of Adaline,4
3,80,1,Breakfast at Tiffany's,5
150,50,1,Dirty Dancing,6
5,11,1,The Fault in our Stars,7
2,87,1,The Lake House,8
30,47,1,The Illusionist,9
22,20,1,Doctor Zhivago,10
46,56,1,Dear John,11
1,9,1,The English Patient,12
80,80,1,Pearl Harbor,13
76,7,0,Inception,14
87,95,0,Date Night,15
98,5,0,Robo Slayer,16
73,2,0,Robocop,17
101,10,0,Kevin Longblade,18
98,12,0,Amped II,19
43,27,0,Salt,20
128,4,0,The Guardian,21
107,37,0,Man on Fire,22
111,53,0,Spider-Man,23
